Timestamp[nanosec], gx[rad/s], gy[rad/s], gz[rad/s], ax[m/s^2], ay[m/s^2], az[m/s^2], label
179583742892306,-0.07595193,0.056426845,-0.17192131,10.247497,-0.19633053,-1.1731946,2
179583762892306,0.0028496864,-0.085904755,-0.046083067,9.948212,-0.55786604,-2.8898897,2
179583782892306,-0.03441309,0.061924633,-0.20185369,10.779025,3.3902931,-0.24900457,2
179583802892306,-0.04785213,0.08086146,-0.066241615,8.755863,-1.9441512,-0.33519846,2
179583822892306,0.09631207,0.011222816,0.4010703,11.760678,-0.6201172,-1.4652961,2
179583842892606,-0.09305616,0.031992234,-0.3985523,7.9322324,3.7781656,-2.403852,2
179583862892606,0.0010170906,-0.22090597,0.02783163,11.116618,-0.28970724,-1.446142,2
179583882892606,0.031560354,0.12423289,0.22636284,9.818921,-1.6688095,0.6392714,2
179583902892606,0.0004062254,-0.1537108,-0.034476623,7.8699813,1.6927522,-3.093403,2
179583922892606,-0.09366702,0.14255884,-0.37350684,8.042369,1.3360053,2.988055,2
179583942892306,0.11952495,0.016109737,0.51469123,11.782227,-4.103787,-2.753416,2
179583962892306,-0.047241263,0.06620069,-0.17802995,5.7103453,2.1596358,2.221887,2
179583982892306,-0.046019536,-0.117669754,-0.29470524,5.36557,0.36392978,2.8013015,2
179584002892306,0.041334197,0.027105313,0.30760792,11.059155,-3.4118416,0.9624985,2
179584022892306,0.04622112,-0.09079168,0.13839824,7.063111,0.87630457,-0.39266106,2
179584042892306,-0.097943075,0.08269405,-0.40649357,5.087834,0.29928434,0.8140534,2
179584062892306,0.09264688,-0.044976786,0.31371656,6.5794673,-3.7709827,4.288146,2
179584082892306,-0.02463925,0.12301116,-0.040585276,-0.7805336,-0.3304099,1.0319325,2
179584102892306,-0.02586098,-0.09628946,-0.16703437,6.2179317,-1.733455,1.0319325,2
179584122892306,0.03827987,0.15538701,0.17749362,12.289813,-0.021548472,0.6488485,2
179584142892306,-0.0008155051,-0.061470147,-0.057689503,4.98488,1.9896424,-1.1731946,2
179584162892306,-0.04418694,0.002670703,-0.11144565,17.566793,-1.0846065,-0.8571504,2
179584182892306,0.09325774,0.061313767,0.30699703,14.269877,2.8180614,1.4652961,2
179584202892306,-0.090612695,-0.0077140066,-0.3619004,10.549175,1.690358,-3.7781656,2
179584222892306,0.03644727,-0.074298315,0.13778737,14.77507,-1.0199611,1.9393626,2
179584242892306,0.035225544,0.2012019,0.17199583,10.915499,0.8356019,-1.3862851,2
179584262892306,-0.05762597,-0.14638041,-0.28737485,7.632948,0.8356019,4.292935,2
179584282892306,0.0077366084,0.053372517,0.05593143,8.463761,-2.4541316,3.4716985,2
179584302892306,0.04744285,0.008168491,0.20620428,5.5331693,-1.350371,4.862772,2
179584322892306,-0.058847703,-0.16348465,-0.21468186,7.4629545,0.749408,3.0814316,2
179584342892606,-0.0020372355,0.08269405,-0.011263744,12.155733,-0.0071828244,1.4868447,2
179584362892606,0.03461468,-0.07796351,0.16344371,10.206794,0.08140534,-2.152453,2
179584382892606,-0.05273905,0.009390221,-0.12854986,10.659311,1.5850099,-4.450957,2
179584402892606,0.03461468,0.03626829,0.016836058,8.868394,0.28731298,2.2194927,2
179584422892606,-0.035634823,-0.06757881,-0.07601546,3.5890179,-3.1221344,2.6839821,2
179584442892306,0.03583641,-0.0993438,0.1548916,9.797373,-0.65842557,9.021627,2
179584462892306,-0.02586098,0.15660875,-0.079069786,8.607418,1.4341706,1.6161355,2
179584482892306,-0.031969633,-0.23129068,-0.08395671,8.607418,1.4341706,1.6161355,2
179584502892306,0.012623531,0.12973067,0.11701796,11.092675,0.7709565,-4.106181,2
179584522892306,-0.00020463986,0.017942334,-0.024091914,3.0814316,-1.9968252,-0.52674043,2
179584542892306,-0.018530598,-0.117669754,-0.04425047,8.56911,-0.26337022,7.937021,2
179584562892306,0.017510451,0.1785999,0.036383744,12.004894,1.2713599,-0.49800915,2
179584582892306,-0.031358767,-0.1677607,-0.01431807,11.253092,-0.11253092,-8.842057,2
179584602892306,-0.0008155051,-0.008324872,0.063261814,6.0766697,1.1085492,-0.41420954,2
179584622892306,-0.008756753,0.097354814,-0.1016718,5.9042816,-2.4493432,4.678413,2
179584642892306,0.008958339,-0.18608665,0.06937047,16.62345,2.0854135,0.20111908,2
179584662892306,0.012623531,0.16882604,0.036383744,5.8180876,0.19393626,-9.783007,2
179584682892306,-0.043576073,-0.11095023,-0.11449997,4.1373067,-2.473286,-0.90982443,2
179584702892306,0.02178651,-0.04436592,0.07364652,11.30816,0.85236186,9.615408,2
179584722892306,0.02056478,0.18165421,-0.02225932,10.755082,-0.38547826,-7.51084,2
179584742892306,-0.014865406,-0.23373415,0.010727405,7.0319853,0.9026416,-2.8276386,2
179584762892306,-0.005091562,0.12973067,-0.04486133,9.627379,-0.92658436,4.618556,2
179584782892306,0.018121317,-0.12500013,0.04188153,14.945064,1.036721,-1.9321798,2
179584802892306,0.015677856,-0.07674178,0.033940285,8.892337,1.6448668,-3.7877429,2
179584822892306,-0.027693577,0.1364502,-0.112667374,11.90194,-2.5187771,1.2546,2
179584842892606,0.03278208,-0.1659281,0.16833064,11.578713,3.6608462,1.7095122,2
179584862892606,-0.010589349,0.1804325,-0.16520178,6.7853746,-1.977671,-6.079064,2
179584882892606,0.0034605516,-0.1714259,0.08219864,10.76466,0.8044763,4.867561,2
179584902892606,0.019343048,-0.019320445,0.07731172,9.019233,1.7813405,-5.0399485,2
179584922892606,-0.011200215,0.06620069,-0.14870842,7.7502675,-2.1835787,-3.4573328,2
179584942892306,0.012012665,-0.11278283,0.16100027,11.351257,1.9441512,4.4988422,2
179584962892306,-0.0008155051,0.16516086,-0.08090238,9.105427,-1.3360053,-6.510033,2
179584982892306,0.002238821,-0.08529389,0.026609901,10.000886,1.0223553,3.9481592,2
