Timestamp[nanosec], gx[rad/s], gy[rad/s], gz[rad/s], ax[m/s^2], ay[m/s^2], az[m/s^2]
257791070794629,-0.008133059,0.18224126,0.050057963,9.5483675,-1.1971374,-1.7957062
257791090761295,0.008971167,0.18957163,0.094651125,9.541185,1.4700848,-2.7079248
257791110727961,0.01507982,0.05029437,0.043338448,11.142955,-0.24900457,-2.0375278
257791130727661,0.019966742,0.17124568,0.08365555,11.142955,-0.24900457,-2.0375278
257791150727661,0.030962316,0.17735434,0.06594046,10.726351,0.76137936,-2.317658
257791170727661,0.04073616,0.115046084,0.062886134,10.656918,-0.9217958,-2.2434354
257791190727661,0.04684481,0.12054387,0.09709459,9.775824,1.5897985,-2.5068057
257791210727661,0.055396926,0.08816802,0.05250142,9.251478,0.69194543,-2.832427
257791230727661,0.05600779,0.12115474,0.05433402,10.101445,-1.2641771,-2.7031362
257791250727661,0.05478606,0.13825896,0.06471873,10.661706,2.2985039,-2.7318676
257791270727661,0.060283847,0.013642454,0.015238645,10.328901,1.4581133,-2.6337023
257791290727661,0.06517077,0.060068212,0.043338448,13.2618885,-1.1109436,-1.9992194
257791310727661,0.06394904,0.14925453,0.025623353,8.909097,0.50040346,-2.8635526
257791330727661,0.06150558,0.024027163,-0.00980683,8.743892,1.5490957,-2.432583
257791350727661,0.06150558,-0.014457348,-0.017137213,13.111049,-0.5123748,-1.6448668
257791370727661,0.063338175,0.07045292,0.0048539354,11.899546,1.0032011,-1.7741576
257791390727994,0.05906212,0.0356336,-0.04584788,8.571504,1.8100717,-2.6648278
257791410727994,0.060894713,-0.039502822,-0.055621725,10.676071,-0.12689656,-3.6895776
257791430727994,0.06517077,-0.031561576,-0.024467597,8.291373,-0.50998056,-2.1500587
257791450727994,0.055396926,-0.0010183123,-0.07455855,10.431855,0.72785956,-2.2003386
257791470727994,0.052342597,-0.02300946,-0.09166277,10.357633,1.1827718,-2.4014575
257791490727694,0.05600779,-0.07493301,-0.08311066,9.284998,-0.9217958,-2.6744049
257791510727694,0.056618657,-0.04500061,-0.08799758,11.856449,-0.10774237,-2.691165
257791530728027,0.051731735,-0.044389743,-0.13259074,10.034406,1.6544439,-2.176396
257791550728027,0.052953463,-0.11341752,-0.117319115,1.8196489,4.371946,-2.6121538
257791570728027,0.052953463,-0.089593776,-0.124649495,0.3304099,-0.6249057,-3.232271
257791590728027,0.05112087,-0.04744407,-0.09899316,8.22194,2.2003386,-3.8643596
257791610728027,0.05845125,-0.04011369,-0.11487566,11.490125,0.25379312,-1.1372806
257791630727693,0.049288273,-0.1628976,-0.11609738,9.708784,1.2905141,-1.56825
257791650727693,0.06272731,-0.1806127,-0.070893355,3.8475995,1.0032011,-1.2354459
257791670727693,0.05906212,0.07167465,-0.10265835,9.608225,0.102953814,-3.5698638
257791690727693,0.07555548,-0.21604288,-0.036074035,6.754249,3.510007,-2.8994668
257791710727693,0.07127942,-0.24841873,-0.05501086,8.262642,-1.7190893,-2.0255566
257791730727693,0.069446824,-0.032783307,-0.026300192,6.7279124,1.8675344,-2.2194927
257791750727693,0.07616635,-0.10058935,-0.06234124,5.3464155,3.553104,-3.3902931
257791770727693,0.0786098,-0.24169922,-0.0012547172,12.914719,-1.3910737,-1.1253091
257791790727693,0.079220675,-0.121969625,0.0134060485,10.46777,1.2833313,-2.248224
257791810727693,0.07555548,-0.050498396,-0.06600643,4.3264546,2.8204558,-5.2745876
257791830727693,0.082274996,-0.23803402,0.010351723,13.424699,0.6057515,-2.2673783
257791850727693,0.07555548,-0.09753502,0.017682105,14.475785,0.33519846,-2.631308
257791870727693,0.07311202,-0.14273904,-0.07455855,7.893924,2.2434354,-2.5068057
257791890728026,0.07250115,-0.11036319,-0.007974235,11.195629,-0.3423813,-3.4262073
257791910728026,0.0682251,-0.07493301,-0.029354518,11.590684,0.91700727,-3.2202997
257791930728026,0.060894713,-0.13479781,-0.101436615,6.8859344,1.1923488,-3.5052183
257791950728026,0.06272731,-0.018733405,-0.028743653,8.08786,0.13168511,-4.285752
257791970728026,0.051731735,-0.10608713,-0.098382294,10.206794,1.2426286,-4.312089
257791990727692,0.057840385,-0.0040726387,-0.06234124,11.564347,1.6448668,-2.6217308
257792010727692,0.047455676,0.044796582,-0.11609738,9.893144,-0.18914771,-2.7055306
257792030728025,0.05051,-0.023620326,-0.072115086,9.893144,-0.18914771,-2.7055306
257792050728025,0.051731735,-0.041946284,-0.077002004,10.570724,0.8547561,-3.4980354
257792070728025,0.04989914,0.103439644,-0.070893355,7.881953,-0.6560313,-1.9824595
257792090728025,0.056618657,0.08328109,-0.05134567,6.464542,3.8739367,-3.5052183
257792110728025,0.060283847,-0.015679078,-0.030576248,7.82449,-0.6344828,-2.7917244
257792130727691,0.060283847,0.110159166,-0.040960956,7.7766047,1.7550035,-3.0622776
257792150727691,0.057840385,0.108937435,-0.012861157,7.058322,2.6528566,-2.1404817
257792170727691,0.060894713,0.057013884,-0.003087313,8.128563,0.50758624,-2.7510219
257792190727691,0.062116444,0.033801008,0.007297396,8.549955,2.1548474,-1.0702409
257792210727691,0.060894713,0.13886982,0.021958163,7.3169036,0.4644893,-2.5044115
257792230727691,0.06394904,0.07228552,0.039673258,7.4845033,1.8364087,-2.7222905
257792250727691,0.060283847,0.034411874,0.012184318,11.238726,1.2665714,-3.1436827
257792270727691,0.063338175,0.08755715,0.07327084,10.10384,2.1572416,-3.641692
257792290727691,0.052342597,0.091833204,0.014627779,9.526819,0.9912298,-3.0383348
257792310727691,0.048066545,0.107715696,0.043338448,10.982538,1.1564348,-2.545114
257792330727691,0.04684481,0.019751105,0.023790758,10.982538,1.1564348,-2.545114
257792350727691,0.041347027,0.05457042,0.029288545,10.640158,1.0558752,-3.265791
257792370727691,0.033405777,0.1254308,0.006686531,9.069513,0.026337024,-3.929005
257792390728024,0.034016643,0.030135814,0.01707124,12.560366,0.25858167,-4.850801
257792410728024,0.027297124,0.022194566,0.009740857,11.277035,1.5083932,-2.9928436
257792430728024,0.018134145,0.091222346,-0.012861157,11.487731,1.6089526,-1.3982565
257792450728024,0.019355876,0.0356336,-0.00980683,14.502123,-3.7063375,-3.2705793
257792470728024,0.01630155,-0.019955136,0.029288545,5.940196,4.6113734,-3.5770466
257792490727690,0.001640784,0.12115474,-0.07944547,11.6098385,-0.6201172,-3.2035396
257792510727690,0.017523281,-0.052330993,0.06044267,12.881199,1.1684061,-1.3048798
257792530728023,0.0034733799,0.038687926,-0.025689328,7.57788,2.0399222,0.14126222
257792550728023,0.0077494364,0.057624754,-0.015915483,11.0352125,-1.2306572,-3.5052183
257792570728023,0.010803763,-0.17450404,0.04150585,4.122941,2.0782306,-4.415043
257792590728023,-0.0050787334,0.057013884,-0.025078462,9.067119,0.79250497,-1.5179702
257792610728023,0.005305975,0.025248894,0.035397198,9.787795,0.14126222,-2.2841382
257792630727689,4.1905354E-4,-0.12685655,0.025012488,7.4821086,1.3671309,-2.935381
257792650727689,-8.026769E-4,-0.10730887,0.024401622,9.596253,1.9465454,-2.5235655
257792670727689,0.001640784,0.012420723,0.043338448,13.532441,0.3040729,-2.4852571
257792690727689,0.0022516493,-0.1946626,0.05799921,6.095824,1.4772675,-1.089395
257792710727689,-0.014241712,-0.0034617735,-0.0061416393,8.985713,0.749408,-2.3559663
257792730727689,-0.0038570033,-0.089593776,0.06960565,12.083905,-0.8284191,-6.6225643
257792750727689,4.1905354E-4,-0.29728797,0.059831806,7.4198575,2.3535721,-1.1205206
257792770727689,-0.016685173,-0.024231192,-0.022024136,7.9130783,3.1700199,0.2561874
257792790727689,-0.015463443,-0.041946284,0.038451523,12.31615,-1.2809371,-3.7685885
257792810727689,-0.016685173,-0.25147307,0.04517104,11.284217,0.76616794,-4.5515165
257792830727689,-0.022793826,-0.15434548,-0.022635,8.250671,1.9393626,-2.5906053
257792850727689,-0.03134594,-0.0034617735,-0.023245867,8.559532,-0.72785956,-5.047131
257792870727689,-0.03134594,-0.21604288,-0.0018655824,9.304152,-1.1181264,-3.0119977
257792890727989,-0.03684373,-0.12135877,-0.05134567,17.262722,2.3392065,-1.5754328
257792910727989,-0.031956803,-0.17450404,-0.031187115,12.311361,0.888276,-2.0878077
257792930727989,-0.047839303,-0.13968472,-0.07944547,9.557945,0.98404694,-0.2849187
257792950727989,-0.05394795,-0.011403021,-0.08921932,11.018453,0.05027977,-4.922629
257792970727989,-0.04417411,-0.19221914,-0.05195653,14.734367,-0.4740664,-4.8915033
257792990727655,-0.04539584,-0.18977568,-0.0947171,7.048745,0.21548474,-1.0295382
257793010727655,-0.047228437,0.053348694,-0.10388008,6.3137026,1.1253091,-4.393494
257793030727988,-0.046617568,-0.09875675,-0.06111951,9.651321,-0.9194015,-4.2642035
257793050727988,-0.04173065,-0.24169922,-0.06539557,8.382356,1.2330515,0.6440599
257793070727988,-0.04111978,0.060068212,-0.10204749,8.945011,1.1636176,-2.2314641
257793090727988,-0.025848152,-0.060883105,0.01707124,8.123775,-1.5514901,-4.865166
257793110727988,-0.030124208,-0.16534106,-0.07578027,6.25624,1.6927522,-3.2202997
257793130727654,-0.017906904,-4.0744714E-4,0.0042430703,8.542772,-0.4070267,-3.380716
257793150727654,-0.014852577,0.036244467,0.026845083,11.866026,-0.7709565,-4.008016
257793170727654,-0.014852577,-0.13113262,-0.015915483,5.8683677,2.935381,-2.7821474
257793190727654,-0.005689599,0.02952495,0.039673258,12.4622,-0.89545876,-4.537151
